filename,FoulResCS,FoulResHS,RunStatus,HeatTranRatClean,HeatTranRatDirty,HeatTranRatService,AreaRatioClean,AreaRatioDirty,HtLdTotal,DutyRatio,PresDropCalcSS,PresDropCalcTS,PresDropAlloSS,PresDropAlloTS,DPratioSS,DPratioTS,TempInSS,TempOutSS,TempInTS,TempOutTS,FlRaTotalSS,FlRaTotalTS,VelThruTubesMaxTS,VelCrossFlowMaxSS,RV2BundleEnt,RV2InNoz,RV2ShlEnt,FoulMaxSS,FoulMaxTS,FoulResSS,FoulResTS,LMTD,MTDCorrFactor,ExcessSurfClean,ExcessSurfDirty,TubeNum,TubeOD,TubeID,TubeLng,ShlID,BafNum,BafSpcCC,BafCutPerc,TubePassNum,TubePattern,OverallLength,Area,FilmCoefSS,FilmCoefTS,PresOperInSS,PresOperInTS
8497_var_CS0.000000_HS0.000000.EDR,0.000000,0.000000,OK,290.3813,290.3813,224.1528,1.295461,1.295461,4.5,1,0.0006115401,0.03681666,0.2,0.5,0.0030577,0.07363332,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.0005087469,0.0005087469,0,0,35.23991,0.9847969,29.54612,29.54612,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,478.6786,758.8032,4,25.1
8497_var_CS0.000000_HS0.000049.EDR,0.000000,0.000049,OK,290.6372,286.5563,224.1797,1.296448,1.278244,4.5,1,0.0006117849,0.0368177,0.2,0.5,0.003058924,0.07363541,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.001019991,0,4.9E-05,0,35.23991,0.9846789,29.64475,27.82438,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,479.2858,759.0257,4,25.1
8497_var_CS0.000000_HS0.000098.EDR,0.000000,0.000098,OK,290.7653,282.7095,224.1737,1.297053,1.261118,4.5,1,0.0006117157,0.03681759,0.2,0.5,0.003058579,0.07363517,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.001021626,0,9.8E-05,0,35.23991,0.9847052,29.70534,26.11179,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,479.5446,759.25,4,25.1
8497_var_CS0.000000_HS0.000147.EDR,0.000000,0.000147,OK,290.8907,278.962,224.1809,1.297572,1.244361,4.5,1,0.0006116484,0.03681747,0.2,0.5,0.003058242,0.07363494,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.001022967,0,0.000147,0,35.23991,0.9846738,29.75715,24.43614,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,479.7985,759.4685,4,25.1
8497_var_CS0.000000_HS0.000196.EDR,0.000000,0.000196,OK,291.0135,275.3102,224.1737,1.298161,1.228111,4.5,1,0.0006115826,0.03681736,0.2,0.5,0.003057913,0.07363471,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.00102456,0,0.000196,0,35.23991,0.9847052,29.81608,22.8111,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.0478,759.6813,4,25.1
8497_var_CS0.000000_HS0.000244.EDR,0.000000,0.000244,OK,291.1313,271.8221,224.167,1.298725,1.212587,4.5,1,0.0006115195,0.03681725,0.2,0.5,0.003057597,0.07363451,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.001026083,0,0.000244,0,35.23991,0.9847345,29.87249,21.25875,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.2871,759.8845,4,25.1
8497_var_CS0.000000_HS0.000293.EDR,0.000000,0.000293,OK,291.2492,268.3494,224.1527,1.299334,1.197172,4.5,1,0.0006114569,0.03681715,0.2,0.5,0.003057284,0.0736343,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.00102776,0,0.000293,0,35.23991,0.9847977,29.93343,19.71723,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.5273,760.0869,4,25.1
8497_var_CS0.000000_HS0.000342.EDR,0.000000,0.000342,OK,291.3648,264.9622,224.148,1.299877,1.182086,4.5,1,0.0006113958,0.03681704,0.2,0.5,0.003056979,0.07363409,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.001029215,0,0.000342,0,35.23991,0.9848182,29.98769,18.20859,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.7631,760.2842,4,25.1
8497_var_CS0.000000_HS0.000391.EDR,0.000000,0.000391,OK,291.4701,261.651,224.1436,1.300372,1.167337,4.5,1,0.0006113378,0.03681695,0.2,0.5,0.003056689,0.07363389,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.001030542,0,0.000391,0,35.23991,0.9848377,30.03722,16.73369,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,480.9724,760.477,4,25.1
8497_var_CS0.000000_HS0.000440.EDR,0.000000,0.000440,OK,291.5727,258.4195,224.1394,1.300854,1.152941,4.5,1,0.0006112818,0.03681685,0.2,0.5,0.003056409,0.07363371,55,34.9978,5,12.7386,197.609177,910.4749,11.16449,0.02023189,0.2357146,43.3877,2.855132,0.001031833,0,0.00044,0,35.23991,0.9848562,30.08545,15.29413,17,12.7,9.4,936,102.26,7,100,23.11139,1,30,,0.5697462,481.1766,760.6652,4,25.1
