[09:53:11] Starting simulation batch: 100 files
[09:53:15] COM ready
[09:53:34] [10/100] ok=10 fail=0 elapsed=19.4s (~30.9/min)
[09:53:47] [20/100] ok=20 fail=0 elapsed=32.1s (~37.4/min)
[09:53:59] [30/100] ok=30 fail=0 elapsed=44.7s (~40.3/min)
[09:54:11] [40/100] ok=40 fail=0 elapsed=56.8s (~42.3/min)
[09:54:24] [50/100] ok=50 fail=0 elapsed=69.9s (~42.9/min)
[09:54:37] [60/100] ok=60 fail=0 elapsed=82.1s (~43.8/min)
[09:54:49] [70/100] ok=70 fail=0 elapsed=94.1s (~44.6/min)
[09:55:02] [80/100] ok=80 fail=0 elapsed=107s (~44.9/min)
[09:55:14] [90/100] ok=90 fail=0 elapsed=119.3s (~45.3/min)
[09:55:27] [100/100] ok=100 fail=0 elapsed=132.3s (~45.4/min)
[09:55:27] DONE. Total=100 OK=100 Failed=0 Time=132.3s
