filename,FoulResCS,FoulResHS,RunStatus,HtLdTotal,DutyRatio,TempOutSS,TempOutTS,TempInSS,TempInTS,HeatTranRatDirty,HeatTranRatClean,AreaRatioDirty,AreaRatioClean,PresDropCalcSS,PresDropCalcTS,DPratioSS,DPratioTS,VelThruTubesMaxTS,VelCrossFlowMaxSS,RV2BundleEnt,RV2InNoz,LMTD,MTDCorrFactor,ExcessSurfDirty,FoulResSS,FoulResTS
8497_var_CS0.000000_HS0.000000.EDR,0.000000,0.000000,OK,4.5,1,34.9978,12.7386,55,5,290.3813,290.3813,1.295461,1.295461,0.0006115401,0.03681666,0.0030577,0.07363332,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9847969,29.54612,0,0
8497_var_CS0.000000_HS0.000049.EDR,0.000000,0.000049,OK,4.5,1,34.9978,12.7386,55,5,286.5563,290.6372,1.278244,1.296448,0.0006117849,0.0368177,0.003058924,0.07363541,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9846789,27.82438,4.9E-05,0
8497_var_CS0.000000_HS0.000098.EDR,0.000000,0.000098,OK,4.5,1,34.9978,12.7386,55,5,282.7095,290.7653,1.261118,1.297053,0.0006117157,0.03681759,0.003058579,0.07363517,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9847052,26.11179,9.8E-05,0
8497_var_CS0.000000_HS0.000147.EDR,0.000000,0.000147,OK,4.5,1,34.9978,12.7386,55,5,278.962,290.8907,1.244361,1.297572,0.0006116484,0.03681747,0.003058242,0.07363494,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9846738,24.43614,0.000147,0
8497_var_CS0.000000_HS0.000196.EDR,0.000000,0.000196,OK,4.5,1,34.9978,12.7386,55,5,275.3102,291.0135,1.228111,1.298161,0.0006115826,0.03681736,0.003057913,0.07363471,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9847052,22.8111,0.000196,0
8497_var_CS0.000000_HS0.000244.EDR,0.000000,0.000244,OK,4.5,1,34.9978,12.7386,55,5,271.8221,291.1313,1.212587,1.298725,0.0006115195,0.03681725,0.003057597,0.07363451,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9847345,21.25875,0.000244,0
8497_var_CS0.000000_HS0.000293.EDR,0.000000,0.000293,OK,4.5,1,34.9978,12.7386,55,5,268.3494,291.2492,1.197172,1.299334,0.0006114569,0.03681715,0.003057284,0.0736343,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9847977,19.71723,0.000293,0
8497_var_CS0.000000_HS0.000342.EDR,0.000000,0.000342,OK,4.5,1,34.9978,12.7386,55,5,264.9622,291.3648,1.182086,1.299877,0.0006113958,0.03681704,0.003056979,0.07363409,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848182,18.20859,0.000342,0
8497_var_CS0.000000_HS0.000391.EDR,0.000000,0.000391,OK,4.5,1,34.9978,12.7386,55,5,261.651,291.4701,1.167337,1.300372,0.0006113378,0.03681695,0.003056689,0.07363389,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848377,16.73369,0.000391,0
8497_var_CS0.000000_HS0.000440.EDR,0.000000,0.000440,OK,4.5,1,34.9978,12.7386,55,5,258.4195,291.5727,1.152941,1.300854,0.0006112818,0.03681685,0.003056409,0.07363371,11.16449,0.02023189,0.2357146,43.3877,35.23991,0.9848562,15.29413,0.00044,0
